#collabs,AVG. WAITING TIME PER COLLAB,AVG. WAITING TIME PER COLLAB,TOTAL WORKFLOW DESIGN TIME,TOTAL WORKFLOW DESIGN TIME,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,EFFICEINCY,EFFICEINCY
1,0,0,368,376,2119.5652173913,2074.4680851064,8478.2608695652,8297.8723404255
2,2.5,2.5,200,200,7800,7800,15600,15600
3,74.3333333333,57.3333333333,401,401,5835.4114713217,5835.4114713217,7780.5486284289,7780.5486284289
4,48.5,53.25,397,392,7858.9420654912,7959.1836734694,7858.9420654912,7959.1836734694
5,45.8,46.2,361,362,10803.324099723,10773.4806629834,8642.6592797784,8618.7845303867
6,74.1666666667,54.1666666667,401,399,11670.8229426434,11729.3233082707,7780.5486284289,7819.5488721805
7,80,45.7142857143,412,443,13252.427184466,12325.0564334086,7572.8155339806,7042.8893905192
8,63.125,46.75,424,439,14716.9811320755,14214.1230068337,7358.4905660377,7107.0615034169
9,64.7777777778,56.3333333333,508,478,13818.8976377953,14686.1924686192,6141.7322834646,6527.1966527197
10,48.8,55.4,405,414,19259.2592592593,18840.5797101449,7703.7037037037,7536.231884058
11,71.4545454545,58.1818181818,435,479,19724.1379310345,17912.3173277662,7172.4137931035,6513.5699373695
12,54.9166666667,91.9166666667,450,709,20800,19201.6925246827,6933.3333333333,4400.5641748942
13,70.3846153846,54.6153846154,592,480,17128.3783783784,21125,5270.2702702703,6500
14,56.7857142857,54.0714285714,494,476,22105.2631578947,22941.1764705882,6315.7894736842,6554.6218487395
15,58.0666666667,95.8,512,758,22851.5625,19435.3562005277,6093.75,4116.0949868074
16,67.9375,81.4375,558,742,22365.5913978495,16819.4070080863,5591.3978494624,4204.8517520216
17,72.5882352941,62.1764705882,594,603,22323.2323232323,21990.0497512438,5252.5252525253,5174.1293532338
18,78.6666666667,87.3333333333,608,775,23092.1052631579,18116.1290322581,5131.5789473684,4025.8064516129
19,110.9473684211,127.3157894737,880,900,16840.9090909091,16466.6666666667,3545.4545454546,3466.6666666667
20,86.1,92.35,651,676,23963.133640553,23076.9230769231,4792.6267281106,4615.3846153846
21,89.1428571429,127.7619047619,708,831,23135.593220339,19711.1913357401,4406.779661017,3754.5126353791
22,101.3636363636,85.8181818182,694,763,24726.2247838617,22490.1703800786,4495.6772334294,4089.121887287
23,95.7391304348,93.9130434783,880,704,20386.3636363636,25482.9545454545,3545.4545454546,4431.8181818182
24,106.2083333333,106.7083333333,920,800,20347.8260869565,23400,3391.3043478261,3900
25,142.44,107.36,1045,774,18660.2870813397,25193.7984496124,2985.6459330144,4031.007751938
26,140.0769230769,210.7307692308,952,1089,21302.5210084034,18622.5895316804,3277.3109243698,2865.0137741047
27,178.7777777778,148.5555555556,1079,918,19518.0722891566,22941.1764705882,2891.5662650603,3398.6928104575
28,166.0714285714,125.1428571429,990,974,22060.6060606061,22422.9979466119,3151.5151515152,3203.2854209446
29,190.7586206897,141.1379310345,1057,952,21400.1892147588,23760.5042016807,2951.7502365185,3277.3109243698
