INDEX,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN
1,1720.3352448169,4802.9556650246,3217.8217821782,5747.9734708917,13941.018766756,2412.6198577173
2,10427.807486631,10156.25,8734.6024636058,8387.0967741936,11166.7859699356,4574.780058651
3,10626.7029972752,11111.1111111111,2124.7616453283,9885.9315589354,10788.3817427386,5479.4520547945
4,10893.8547486034,13310.5802047782,11818.1818181818,6747.4048442907,13879.0035587189,6290.3225806452
5,1838.7553041018,12149.5327102804,11223.0215827338,14156.0798548094,10939.6914446003,9936.3057324841
6,11337.2093023256,11538.4615384615,13000,17449.6644295302,13483.1460674157,6878.3068783069
7,11436.9501466276,14716.9811320755,11694.1529235382,16082.4742268041,11436.9501466276,9318.9964157706
8,12149.5327102804,13829.7872340426,14181.8181818182,16810.3448275862,13483.1460674157,8306.7092651757
9,10317.4603174603,8666.6666666667,14857.1428571429,17105.2631578947,16720.2572347267,12540.192926045
10,11607.1428571429,7208.8724584104,11854.103343465,19164.6191646192,15584.4155844156,13553.4317984361
11,11854.103343465,12621.359223301,13780.9187279152,20689.6551724138,17993.0795847751,13109.243697479
12,12225.7053291536,15175.0972762646,11370.2623906706,16774.1935483871,16738.1974248927,13768.7555163283
13,10833.3333333333,11304.347826087,13021.7028380634,20800,16738.1974248927,14041.404140414
14,12302.8391167192,15234.375,13242.7843803056,18705.035971223,16165.8031088083,15130.9408341416
15,11337.2093023256,15294.1176470588,10497.9811574697,15950.9202453988,13854.351687389,13425.1290877797
16,12302.8391167192,11111.1111111111,13379.0737564322,20634.9206349206,13793.1034482759,16507.9365079365
17,11538.4615384615,15234.375,18886.1985472155,20103.0927835051,16165.8031088083,11150.8220157255
18,11607.1428571429,16455.6962025316,19746.835443038,16810.3448275862,15600,15460.8523290387
19,12580.6451612903,15725.8064516129,15506.958250497,18139.5348837209,17727.2727272727,13010.8423686405
20,13087.2483221477,14028.7769784173,12765.9574468085,19500,16974.972796518,14634.1463414634
21,11079.5454545455,16182.5726141079,19164.6191646192,17180.6167400881,18593.5637663886,15249.2668621701
22,9798.9949748744,11782.4773413897,13879.0035587189,21081.0810810811,19259.2592592593,14525.1396648045
23,10655.737704918,14181.8181818182,15600,16810.3448275862,18840.5797101449,14511.6279069767
24,12662.3376623377,15600,16666.6666666667,18750,21340.6292749658,14744.8015122873
25,11370.2623906706,17256.6371681416,18224.2990654206,15476.1904761905,15885.9470468432,16490.4862579281
26,12871.2871287129,10833.3333333333,16386.5546218487,17607.223476298,19696.9696969697,16595.7446808511
