INDEX,AVG. WAITING TIME PER COLLAB,AVG. WAITING TIME PER COLLAB
1,173,281
2,168.5,102.5
3,155,99.3333333333
4,128,60
5,814,101.2
6,87.3333333333,98.8333333333
7,83.1428571429,35.1428571429
8,55.875,35.125
9,74.3333333333,33
10,49.2,80
11,44.5454545455,31.1818181818
12,32.75,15.3333333333
13,40.2307692308,19.6153846154
14,33.1428571429,12.1428571429
15,17.1333333333,16.6666666667
16,20.9375,16
17,25.6470588235,10.7647058824
18,22.8888888889,4.7222222222
19,19.5263157895,8.5263157895
20,9.75,13.6
21,21.0952380952,7.1904761905
22,22.4545454545,6.0454545455
23,24.5217391304,7.4347826087
24,14.7083333333,2.8333333333
25,10.56,2.44
26,10.1923076923,7.3461538462
27,15.3703703704,8.2962962963
28,9.5714285714,3.2857142857
29,8.0689655172,9.8965517241
30,5.0666666667,4.9
31,7.7741935484,7.6451612903
32,12.3125,6.5625
33,2.6363636364,2.0303030303
34,8.1764705882,1.5294117647
35,6.4571428571,6.2571428571
36,8.6944444444,1.3333333333
37,7.1351351351,3.2972972973
38,5.1842105263,3.6578947368
39,3.3076923077,2.3076923077
40,1.05,1.55
41,5.4146341463,4.4390243902
42,7.619047619,4.1428571429
43,9.1627906977,0.511627907
44,4.4090909091,0.6818181818
45,3.4888888889,3.4666666667
46,7.7391304348,4.1304347826
47,3.4468085106,5.3829787234
48,5.3125,0.2708333333
49,1.1020408163,0.5714285714
50,-0.7,0.32
51,-0.0196078431,1.3137254902
52,2.1346153846,0.7115384615
53,2.7169811321,0.679245283
54,0.7037037037,0.9814814815
55,3.0545454545,1.5454545455
56,0.75,3.1785714286
57,1.649122807,0.5789473684
58,1.7413793103,-0.2931034483
59,0.1525423729,0.6779661017
60,-0.35,2.2333333333
61,4.2786885246,0.9672131148
62,1.6290322581,-0.5322580645
63,4.6031746032,-0.1587301587
64,-0.625,-0.25
65,2.1384615385,0.9538461538
66,1.4090909091,-0.6363636364
67,0.8955223881,-0.2985074627
68,1.4117647059,0.4705882353
69,-0.1884057971,1.1014492754
70,1.6571428571,-0.3285714286
71,1.0563380282,-0.8591549296
72,1.5694444444,-0.5
73,3.4794520548,-0.7534246575
74,2.8648648649,-0.1891891892
75,1.6133333333,-0.4933333333
76,-0.0526315789,-0.25
77,0.4155844156,-0.2077922078
78,-0.0384615385,2.9102564103
79,-0.1518987342,0.2405063291
