INDEX,EFFICEINCY,EFFICEINCY,EFFICEINCY,EFFICEINCY,EFFICEINCY,EFFICEINCY
1,6881.3409792678,19211.8226600985,12871.2871287129,22991.8938835667,55764.0750670241,9650.4794308692
2,20855.614973262,20312.5,17469.2049272116,16774.1935483871,22333.5719398712,9149.5601173021
3,14168.9373297003,14814.8148148148,2833.0155271043,13181.2420785805,14384.5089903181,7305.9360730594
4,10893.8547486034,13310.5802047782,11818.1818181818,6747.4048442907,13879.0035587189,6290.3225806452
5,1471.0042432815,9719.6261682243,8978.4172661871,11324.8638838476,8751.7531556802,7949.0445859873
6,7558.1395348837,7692.3076923077,8666.6666666667,11633.1096196868,8988.7640449438,4585.5379188713
7,6535.4000837872,8409.7035040431,6682.3730991647,9189.9852724595,6535.4000837872,5325.1408090118
8,6074.7663551402,6914.8936170213,7090.9090909091,8405.1724137931,6741.5730337079,4153.3546325879
9,4585.5379188713,3851.8518518519,6603.1746031746,7602.3391812866,7431.2254376563,5573.4190782422
10,4642.8571428572,2883.5489833642,4741.641337386,7665.8476658477,6233.7662337662,5421.3727193745
11,4310.5830339873,4589.5851721095,5011.2431737874,7523.5109717868,6542.9380308273,4766.9977081742
12,4075.2351097179,5058.3657587549,3790.0874635569,5591.3978494624,5579.3991416309,4589.5851721095
13,3333.3333333333,3478.2608695652,4006.6777963272,6400,5150.2145922747,4320.4320432043
14,3515.0968904912,4352.6785714286,3783.6526800873,5344.295991778,4618.8008882309,4323.1259526119
15,3023.2558139535,4078.431372549,2799.4616419919,4253.5787321063,3694.4937833037,3580.0344234079
16,3075.7097791798,2777.7777777778,3344.7684391081,5158.7301587302,3448.275862069,4126.9841269841
17,2714.9321266968,3584.5588235294,4443.8114228742,4730.1394784718,3803.7183785431,2623.7228272295
18,2579.3650793651,3656.8213783404,4388.1856540084,3735.6321839081,3466.6666666667,3435.7449620086
19,2648.5568760611,3310.6960950764,3264.6227895783,3818.8494492044,3732.057416268,2739.1247091875
20,2617.4496644295,2805.7553956835,2553.1914893617,3900,3394.9945593036,2926.8292682927
21,2110.3896103896,3082.3947836396,3650.4036504037,3272.4984266835,3541.6311935978,2904.622259461
22,1781.6354499772,2142.2686075254,2523.4551924943,3832.9238329238,3501.6835016835,2640.9344845099
23,1853.1717747684,2466.4031620553,2713.0434782609,2923.5382308846,3276.6225582861,2523.7613751264
24,2110.3896103896,2600,2777.7777777778,3125,3556.7715458276,2457.4669187146
25,1819.2419825073,2761.0619469027,2915.8878504673,2476.1904761905,2541.7515274949,2638.4778012685
26,1980.198019802,1666.6666666667,2521.0084033614,2708.8036117382,3030.303030303,2553.1914893617
27,1811.2156043191,2041.6175893208,2596.7540574282,2699.8961578401,3013.1826741996,2503.9123630673
28,1693.4433347807,2004.1109969168,2219.6926579397,2350.8137432188,3179.1318524557,2228.5714285714
29,1635.0487370297,1675.7976152111,1851.741943142,2846.1959496442,2842.4361135152,2404.1610479676
30,1650.7936507937,1897.8102189781,1954.8872180451,3250,2984.2180774749,2837.653478854
31,1771.9218537029,1898.9653073646,2105.5473073289,2287.3900293255,2742.3749670388,2152.8376746593
32,1369.3820224719,1582.7922077922,2039.7489539749,2349.3975903615,1784.0805123513,1756.7567567568
33,1763.907734057,2046.4384100748,2322.984141166,2576.1704235819,2760.4512276045,2141.4598991043
34,1390.3743315508,2048.3193277311,1392.4841560296,1935.9642591214,2134.0629274966,1752.9074667116
35,1644.7021613073,1160.7142857143,1808.1715444799,1797.2350230415,2490.0239425379,1669.341894061
36,1297.4051896208,1917.4041297935,1884.0579710145,2139.9176954733,2166.6666666667,1694.3629846856
37,1281.52468578,1243.7215977039,1588.0287066728,2224.9162090851,1508.4852294155,1373.3603310151
38,1274.9264465512,1410.7433532284,1549.1559086395,2037.3514431239,1746.9204927212,1516.2560139962
39,1550.3875968992,1809.9547511312,1995.0124688279,2099.7375328084,2022.7560050569,1420.9591474245
40,1673.8197424893,1566.265060241,1776.7653758542,2549.0196078431,2228.5714285714,1688.3116883117
41,1231.3521193464,1344.4798758942,2155.7382712637,2056.6908371787,1780.0599058622,1872.0187201872
42,1031.746031746,1276.3868433972,1462.3172103487,1696.0208741031,1583.9171489491,1922.0107189059
43,1004.9603813696,1769.710720363,1557.0416209203,1591.1872705018,1628.690000783,2222.3013640087
44,1248.3994878361,1597.0515970516,1890.9090909091,1450.0836586726,1518.3959509441,1761.7165443252
45,907.5043630017,1086.7293625914,1642.9699842022,2494.0047961631,1100.5291005291,1561.5615615616
46,919.0526687876,1090.4515587865,1237.7023167249,1477.6925262859,1337.7926421405,1910.5939987753
47,1144.5341159208,932.3452067894,1512.1407454079,1706.503309085,1818.7117458467,1721.9968540442
48,902.7777777778,1540.2843601896,1946.1077844311,1873.1988472623,1300,1460.6741573034
49,1390.2504233134,1414.9659863946,1340.4940923738,1641.0687986535,1881.0478401109,1581.9495500063
50,1485.7142857143,1310.9243697479,1221.1350293542,1851.6320474778,1463.0715123095,1675.1677852349
51,1449.6793978255,1069.5187165775,1235.8882947118,1399.9192354287,1512.3972951356,1374.7521480502
52,884.9557522124,1244.8132780083,1699.716713881,1327.4336283186,1837.6722817764,1426.8727705113
53,1110.7155571378,1216.2794324029,1911.2962509189,1234.1283968198,1703.8473090681,1427.1012006861
54,1115.4011154011,1106.8539804172,1144.1144114412,1485.2899171665,1053.3778993214,1448.0646059594
55,790.073436313,942.313500453,1260.6060606061,1745.4545454546,1213.4175984443,1452.6830403911
56,1146.3844797178,898.6175115207,1211.1801242236,1768.7074829932,1025.1018530687,1357.2298590569
57,1099.1333756077,1200.3693444137,1200.3693444137,1737.6775271512,1412.5636672326,1248.2746204165
58,1054.7667342799,1286.9163504372,952.0903265182,985.2216748768,1294.6595294411,1442.1743551817
59,1235.5456993506,990.2875642735,1055.5160864711,1362.9215446444,1400.8306207206,1343.8718153038
60,1293.5323383085,955.8823529412,1046.277665996,1533.9233038348,1462.7285513362,996.1685823755
61,700.6512463508,936.7681498829,1104.6985093652,1050.2575150638,998.9754098361,1054.5884738888
62,835.9232665309,1221.4218603195,1128.3089830754,1115.8000143051,1019.7078144916,736.248436652
63,814.5363408521,1062.742693644,859.7883597884,1231.9355602938,897.1704623879,859.7883597884
64,1194.8529411765,1118.1192660551,876.7985611511,1759.9277978339,946.6019417476,1123.2718894009
65,802.6755852843,941.1764705882,750,1304.347826087,1405.5636896047,997.920997921
66,747.9861910242,1175.9384893713,1016.6177908113,1520.0233849752,1147.3962930274,1201.3399561049
67,800.1230958609,1124.8107289639,1464.3762320473,1021.2097407698,1084.2180251247,1042.9376075947
