INDEX,TOTAL WORKFLOW DESIGN TIME,TOTAL WORKFLOW DESIGN TIME,TOTAL WORKFLOW DESIGN TIME,TOTAL WORKFLOW DESIGN TIME
1,2267,812,2424,1357
2,374,384,893,930
3,367,351,3671,789
4,358,293,660,1156
5,2121,321,695,551
6,344,338,600,447
7,341,265,667,485
8,321,282,550,464
9,378,450,525,456
10,336,541,658,407
11,329,309,566,377
12,319,257,686,465
13,360,345,599,375
14,317,256,589,417
15,344,255,743,489
16,317,351,583,378
17,338,256,413,388
18,336,237,395,464
19,310,248,503,430
20,298,278,611,400
21,352,241,407,454
22,398,331,562,370
23,366,275,500,464
24,308,250,468,416
25,343,226,428,504
26,303,360,476,443
27,319,283,445,428
28,329,278,502,474
29,329,321,581,378
30,315,274,532,320
31,284,265,478,440
32,356,308,478,415
33,268,231,407,367
34,330,224,659,474
35,271,384,493,496
36,334,226,460,405
37,329,339,531,379
38,322,291,530,403
39,258,221,401,381
40,233,249,439,306
41,309,283,353,370
42,360,291,508,438
43,361,205,466,456
44,284,222,375,489
45,382,319,422,278
46,369,311,548,459
47,290,356,439,389
48,360,211,334,347
49,229,225,475,388
50,210,238,511,337
51,211,286,495,437
52,339,241,353,452
53,265,242,308,477
54,259,261,505,389
55,359,301,450,325
56,243,310,460,315
57,249,228,456,315
58,255,209,565,546
59,214,267,501,388
60,201,272,497,339
61,365,273,463,487
62,301,206,446,451
63,304,233,576,402
64,204,218,556,277
65,299,255,640,368
66,316,201,465,311
67,291,207,318,456
68,230,273,411,444
69,209,302,395,332
70,279,218,386,211
71,349,204,619,273
72,266,205,399,400
73,320,195,366,355
74,317,205,500,513
75,363,209,464,546
76,225,234,553,368
77,279,230,575,471
78,226,305,407,408
79,235,263,436,437
